TIMESTAMP,BBM_EBOX_OUT_VOLTAGE_MEASURED,STATOR_AND_MAIN_BATT_IN_VOLTAGE_MEASURED,BBM_WINCH_OUT_VOLTAGE_MEASURED,STATOR_TO_BBM_CURRENT_MEASURED,MAIN_BATT_TO_BBM_CURRENT_MEASURED,BBM_TO_WINCH_AND_BATT_CURRENT_MEASURED,WINCH_BATT_AND_BBM_TO_WINCH_CURRENT_MEASURED,BBM_TO_EBOX_CURRENT_MEASURED
2018-02-22T11-30-11_0007,11.83,12.09,11.85,0.07,0.27,0.10,-0.02,0.42
2018-02-22T11-30-11_0008,11.84,12.08,11.85,0.11,0.24,0.12,0.00,0.43
2018-02-22T11-30-11_0009,11.85,12.11,11.85,0.08,0.19,0.09,0.00,0.18
2018-02-22T11-30-11_0010,11.84,12.08,11.84,0.08,0.23,0.09,0.05,0.23
2018-02-22T11-30-11_0011,11.85,12.10,11.84,0.09,0.20,0.08,0.05,0.19
2018-02-22T11-30-11_0012,11.85,12.09,11.85,0.09,0.21,0.08,0.02,0.25
2018-02-22T11-30-11_0013,11.85,12.09,11.83,0.07,0.21,0.12,-0.02,0.20
2018-02-22T11-30-11_0014,11.82,12.09,11.85,0.05,0.33,0.11,0.02,0.35
2018-02-22T11-30-11_0015,11.85,12.07,11.85,0.08,0.41,0.11,-0.02,0.16
2018-02-22T11-30-12_0000,11.85,12.11,11.85,0.09,0.20,0.06,0.00,0.20
2018-02-22T11-30-12_0001,11.85,12.10,11.84,0.07,0.22,0.10,0.05,0.19
2018-02-22T11-30-12_0002,11.83,12.09,11.85,0.07,0.36,0.10,0.02,0.38
2018-02-22T11-30-12_0003,11.84,12.08,11.85,0.07,0.40,0.10,0.00,0.17
2018-02-22T11-30-12_0004,11.85,12.11,11.84,0.07,0.22,0.13,-0.05,0.19
2018-02-22T11-30-12_0005,11.85,12.11,11.85,0.07,0.21,0.10,0.02,0.19
2018-02-22T11-30-12_0006,11.84,12.09,11.82,0.05,0.25,0.08,0.02,0.20
2018-02-22T11-30-12_0007,11.84,12.09,11.85,0.06,0.23,0.10,-0.02,0.48
2018-02-22T11-30-12_0008,11.85,12.08,11.82,0.06,0.23,0.09,0.00,0.20
2018-02-22T11-30-12_0009,11.85,12.09,11.84,0.05,0.21,0.09,-0.02,0.17
2018-02-22T11-30-12_0010,11.84,12.08,11.85,0.06,0.22,0.09,0.02,0.45
2018-02-22T11-30-12_0011,11.84,12.07,11.85,0.07,0.41,0.11,0.02,0.19
2018-02-22T11-30-12_0012,11.85,12.08,11.83,0.08,0.23,0.07,-0.02,0.20
2018-02-22T11-30-12_0013,11.85,12.09,11.85,0.06,0.21,0.06,0.05,0.29
